x den vel pres
0.01 0.411269 1.02435 5.01755
0.03 0.407647 1.06056 4.95624
0.05 0.402829 1.10908 4.87506
0.07 0.397552 1.16271 4.78664
0.09 0.392062 1.2191 4.69518
0.11 0.386467 1.27719 4.60251
0.13 0.380839 1.3363 4.50983
0.15 0.375235 1.39584 4.41812
0.17 0.369712 1.45522 4.32824
0.19 0.364321 1.51386 4.24102
0.21 0.359113 1.57121 4.1572
0.23 0.354132 1.6267 4.07747
0.25 0.349424 1.67979 4.00242
0.27 0.345026 1.72999 3.93256
0.29 0.340974 1.77684 3.86831
0.31 0.337298 1.81997 3.80996
0.33 0.334024 1.85909 3.75771
0.35 0.331178 1.894 3.71159
0.37 0.328784 1.92464 3.67152
0.39 0.326874 1.95103 3.63729
0.41 0.32549 1.97335 3.60856
0.43 0.324701 1.99184 3.58488
0.45 0.324609 2.00685 3.56573
0.47 0.32537 2.01876 3.55055
0.49 0.32721 2.02802 3.53875
0.51 0.330444 2.03503 3.52977
0.53 0.33549 2.04021 3.52309
0.55 0.342879 2.04392 3.51822
0.57 0.353258 2.04646 3.51479
0.59 0.367372 2.04811 3.51244
0.61 0.386037 2.04907 3.51091
0.63 0.410092 2.04951 3.51
0.65 0.440329 2.04955 3.50954
0.67 0.477412 2.04926 3.50939
0.69 0.521786 2.04866 3.50934
0.71 0.573569 2.04762 3.50903
0.73 0.632443 2.04577 3.5076
0.75 0.697509 2.04227 3.50322
0.77 0.767097 2.03557 3.49231
0.79 0.838517 2.02308 3.4687
0.81 0.907791 2.00092 3.42286
0.83 0.96946 1.96382 3.34183
0.85 1.01672 1.90523 3.2106
0.87 1.04219 1.81783 3.01546
0.89 1.03954 1.6946 2.74959
0.91 1.00588 1.53062 2.41931
0.93 0.944092 1.32618 2.04836
0.95 0.863952 1.09144 1.67682
0.97 0.781714 0.854354 1.35577
0.99 0.720579 0.675483 1.14635
