x den vel pres
0.000625 1 6.68244e-16 2
0.001875 1 7.4616e-16 2
0.003125 1 5.635e-16 2
0.004375 1 2.06131e-16 2
0.005625 1 -1.48933e-16 2
0.006875 1 -3.33566e-16 2
0.008125 1 -1.99734e-16 2
0.009375 1 -3.88981e-17 2
0.010625 1 -2.27065e-16 2
0.011875 1 -5.83586e-16 2
0.013125 1 -1.01879e-15 2
0.014375 1 -1.45339e-15 2
0.015625 1 -1.72421e-15 2
0.016875 1 -1.82781e-15 2
0.018125 1 -1.97738e-15 2
0.019375 1 -2.1001e-15 2
0.020625 1 -1.97748e-15 2
0.021875 1 -1.87788e-15 2
0.023125 1 -1.92013e-15 2
0.024375 1 -2.0697e-15 2
0.025625 1 -2.20007e-15 2
0.026875 1 -2.10042e-15 2
0.028125 1 -1.91974e-15 2
0.029375 1 -1.74841e-15 2
0.030625 1 -1.74025e-15 2
0.031875 1 -1.86352e-15 2
0.033125 1 -2.02016e-15 2
0.034375 1 -1.82567e-15 2
0.035625 1 -1.41309e-15 2
0.036875 1 -9.0666e-16 2
0.038125 1 -4.10176e-16 2
0.039375 1 -8.43359e-17 2
0.040625 1 0 2
0.041875 1 0 2
0.043125 1 0 2
0.044375 1 0 2
0.045625 1 0 2
0.046875 1 0 2
0.048125 1 0 2
0.049375 1 0 2
0.050625 1 0 2
0.051875 1 0 2
0.053125 1 0 2
0.054375 1 0 2
0.055625 1 0 2
0.056875 1 0 2
0.058125 1 0 2
0.059375 1 0 2
0.060625 1 0 2
0.061875 1 0 2
0.063125 1 0 2
0.064375 1 0 2
0.065625 1 0 2
0.066875 1 0 2
0.068125 1 0 2
0.069375 1 0 2
0.070625 1 1.74608e-16 2
0.071875 1 6.7562e-16 2
0.073125 1 1.63046e-15 2
0.074375 1 2.8876e-15 2
0.075625 1 4.02916e-15 2
0.076875 1 4.99259e-15 2
0.078125 1 6.38524e-15 2
0.079375 1 7.49935e-15 2
0.080625 1 8.67498e-15 2
0.081875 1 1.00397e-14 2
0.083125 1 1.11574e-14 2
0.084375 1 1.21695e-14 2
0.085625 1 1.34366e-14 2
0.086875 1 1.4692e-14 2
0.088125 1 1.57883e-14 2
0.089375 1 1.71045e-14 2
0.090625 1 1.83032e-14 2
0.091875 1 1.9502e-14 2
0.093125 1 2.0784e-14 2
0.094375 1 2.20511e-14 2
0.095625 1 2.31585e-14 2
0.096875 1 2.44761e-14 2
0.098125 1 2.55872e-14 2
0.099375 1 2.68654e-14 2
0.100625 1 2.82183e-14 2
0.101875 1 2.92584e-14 2
0.103125 1 3.02589e-14 2
0.104375 1 3.15786e-14 2
0.105625 1 3.28885e-14 2
0.106875 1 3.40836e-14 2
0.108125 1 3.53012e-14 2
0.109375 1 3.81607e-14 2
0.110625 1 4.72188e-14 2
0.111875 1 7.10224e-14 2
0.113125 1 1.27846e-13 2
0.114375 1 2.57248e-13 2
0.115625 1 5.45291e-13 2
0.116875 1 1.17724e-12 2
0.118125 1 2.55477e-12 2
0.119375 1 5.54765e-12 2
0.120625 1 1.20464e-11 2
0.121875 1 2.61451e-11 2
0.123125 1 5.66886e-11 2
0.124375 1 1.22711e-10 2
0.125625 1 2.64984e-10 2
0.126875 1 5.7034e-10 2
0.128125 1 1.22242e-09 2
0.129375 1 2.60652e-09 2
0.130625 1 5.52367e-09 2
0.131875 1 1.16225e-08 2
0.133125 1 2.42588e-08 2
0.134375 1 5.0181e-08 2
0.135625 1 1.02785e-07 2
0.136875 1 2.08297e-07 2
0.138125 1 4.17298e-07 2
0.139375 1 8.25831e-07 2
0.140625 0.999999 1.61323e-06 2
0.141875 0.999998 3.10849e-06 1.99999
0.143125 0.999996 5.90396e-06 1.99999
0.144375 0.999993 1.10452e-05 1.99998
0.145625 0.999988 2.03394e-05 1.99997
0.146875 0.999978 3.68401e-05 1.99994
0.148125 0.999961 6.55855e-05 1.99989
0.149375 0.999931 0.000114676 1.99981
0.150625 0.999882 0.000196781 1.99967
0.151875 0.999802 0.000331133 1.99945
0.153125 0.999674 0.000546008 1.99909
0.154375 0.999473 0.00088157 1.99853
0.155625 0.999168 0.00139279 1.99767
0.156875 0.998715 0.00215172 1.9964
0.158125 0.998061 0.0032465 1.99457
0.159375 0.997157 0.00476366 1.99204
0.160625 0.995992 0.00671726 1.98879
0.161875 0.994587 0.00907826 1.98486
0.163125 0.992961 0.011812 1.98032
0.164375 0.991139 0.0148813 1.97523
0.165625 0.989143 0.0182477 1.96966
0.166875 0.986997 0.021873 1.96369
0.168125 0.984723 0.0257212 1.95736
0.169375 0.982341 0.0297591 1.95073
0.170625 0.979871 0.033957 1.94387
0.171875 0.977326 0.038289 1.9368
0.173125 0.974721 0.0427328 1.92958
0.174375 0.972068 0.0472696 1.92223
0.175625 0.969375 0.051884 1.91478
0.176875 0.966651 0.056563 1.90725
0.178125 0.963901 0.061296 1.89966
0.179375 0.961131 0.0660745 1.89202
0.180625 0.958346 0.0708911 1.88435
0.181875 0.955548 0.0757402 1.87665
0.183125 0.952741 0.0806168 1.86894
0.184375 0.949928 0.0855164 1.86122
0.185625 0.947109 0.0904363 1.85349
0.186875 0.944287 0.0953743 1.84576
0.188125 0.941463 0.100328 1.83804
0.189375 0.938637 0.105296 1.83032
0.190625 0.935811 0.110277 1.82261
0.191875 0.932985 0.11527 1.81491
0.193125 0.930159 0.120273 1.80722
0.194375 0.927336 0.125285 1.79954
0.195625 0.924514 0.130307 1.79188
0.196875 0.921695 0.135336 1.78424
0.198125 0.918879 0.140372 1.77661
0.199375 0.916066 0.145416 1.769
0.200625 0.913256 0.150465 1.76141
0.201875 0.91045 0.15552 1.75383
0.203125 0.907647 0.160581 1.74628
0.204375 0.904849 0.165647 1.73875
0.205625 0.902056 0.170717 1.73124
0.206875 0.899266 0.175792 1.72375
0.208125 0.896482 0.180871 1.71628
0.209375 0.893702 0.185954 1.70883
0.210625 0.890927 0.191041 1.70141
0.211875 0.888157 0.196131 1.69401
0.213125 0.885392 0.201224 1.68663
0.214375 0.882632 0.206321 1.67928
0.215625 0.879878 0.21142 1.67194
0.216875 0.877129 0.216523 1.66463
0.218125 0.874385 0.221628 1.65735
0.219375 0.871647 0.226735 1.65009
0.220625 0.868914 0.231845 1.64285
0.221875 0.866187 0.236958 1.63564
0.223125 0.863466 0.242072 1.62845
0.224375 0.86075 0.247189 1.62128
0.225625 0.85804 0.252308 1.61414
0.226875 0.855336 0.257429 1.60702
0.228125 0.852638 0.262552 1.59993
0.229375 0.849945 0.267677 1.59286
0.230625 0.847259 0.272803 1.58582
0.231875 0.844578 0.277931 1.5788
0.233125 0.841904 0.283061 1.5718
0.234375 0.839235 0.288192 1.56483
0.235625 0.836572 0.293325 1.55788
0.236875 0.833915 0.298459 1.55096
0.238125 0.831265 0.303595 1.54406
0.239375 0.82862 0.308732 1.53719
0.240625 0.825981 0.31387 1.53034
0.241875 0.823349 0.31901 1.52352
0.243125 0.820722 0.324151 1.51672
0.244375 0.818102 0.329293 1.50994
0.245625 0.815488 0.334436 1.50319
0.246875 0.812879 0.339581 1.49647
0.248125 0.810277 0.344726 1.48976
0.249375 0.807681 0.349873 1.48309
0.250625 0.805092 0.35502 1.47643
0.251875 0.802508 0.360169 1.4698
0.253125 0.799931 0.365318 1.4632
0.254375 0.797359 0.370469 1.45662
0.255625 0.794794 0.37562 1.45006
0.256875 0.792235 0.380773 1.44353
0.258125 0.789682 0.385926 1.43702
0.259375 0.787136 0.39108 1.43054
0.260625 0.784595 0.396235 1.42408
0.261875 0.782061 0.401391 1.41764
0.263125 0.779532 0.406547 1.41123
0.264375 0.77701 0.411705 1.40484
0.265625 0.774495 0.416863 1.39848
0.266875 0.771985 0.422022 1.39214
0.268125 0.769481 0.427181 1.38582
0.269375 0.766984 0.432342 1.37953
0.270625 0.764492 0.437503 1.37326
0.271875 0.762007 0.442665 1.36701
0.273125 0.759528 0.447827 1.36079
0.274375 0.757055 0.45299 1.35459
0.275625 0.754589 0.458154 1.34842
0.276875 0.752128 0.463318 1.34227
0.278125 0.749674 0.468483 1.33614
0.279375 0.747226 0.473648 1.33003
0.280625 0.744783 0.478814 1.32395
0.281875 0.742347 0.483981 1.31789
0.283125 0.739918 0.489148 1.31186
0.284375 0.737494 0.494316 1.30585
0.285625 0.735076 0.499484 1.29986
0.286875 0.732665 0.504653 1.29389
0.288125 0.730259 0.509822 1.28795
0.289375 0.72786 0.514991 1.28203
